MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.204 LON","HM49","","","","","","","","","","","","","","499631","","","","","","","","","","","2015-09-17 11:31:29.202 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.205 LON","HM49","","Buy","6733","","","","","","","","","","","499789","","","","","","","","","","","2015-09-17 11:31:29.203 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.205 LON","HM49","","","","","","","","","","","","","","499855","","","","","","","","","","","2015-09-17 11:31:29.202 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.205 LON","HM49","","Buy","6733","","","","","","","","","","","500373","","","","","","","","","","","2015-09-17 11:31:29.203 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.205 LON","HM49","","","","","","","","","","","","","","501960","","","","","","","","","","","2015-09-17 11:31:29.202 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.206 LON","HM49","","Buy","6733","","","","","","","","","","","502028","","","","","","","","","","","2015-09-17 11:31:29.203 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.243 LON","HM49","","","","","","","","","","","","","","503548","","","","","","","","","","","2015-09-17 11:31:29.220 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.245 LON","HM49","","","","","","","","","","","","","","506968","","","","","","","","","","","2015-09-17 11:31:29.220 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.247 LON","HM49","","","","","","","","","","","","","","507942","","","","","","","","","","","2015-09-17 11:31:29.220 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.251 LON","HM49","","","","","","","","","","","","","","512771","","","","","","","","","","","2015-09-17 11:31:29.220 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.253 LON","HM49","","","","","","","","","","","","","","513176","","","","","","","","","","","2015-09-17 11:31:29.220 LON","","","","","","","","","","","","","","","","","","","",""
